Product order name;product_order_date;comment;factory;status;create_date;order_number;order_date;product_name;qty
ПКНФ-000090;20.01.2026;7614.1 - КНС (Основное)+ склад резерв (200тыс);Васюринская;В резерв после прихода;20.01.2026;ПКНФ-00956 ;10.12.2025;Канализационная насосная станция в корпусе из стеклопластика КСС-КНС-1-1400-3500, на базе насосов CN;1
ПКНФ-000091;21.01.2026;7024.2 - КНС (Основное)+ склад резерв (326 тыс);Васюринская;В резерв после прихода;21.01.2026;ПКНФ-00841 ;14.10.2025;Канализационная насосная станция в корпусе КСС-КНС-2000-3700;1
ПКНФ-000095;22.01.2026;7719.4У - ВНС установка;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00960 ;12.12.2025;Установка повышения давления КСС-МЧ-3 CDM1-8+СХ+ГА8;1
ПКНФ-000099;22.01.2026;8150.1У - ВНС (Основное);Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-000010;20.01.2026;Автоматическая насосная станция повышения давления КСС-МЧ-3 CDM5-5-СХ-ГА8 ;1
ПКНФ-000100;22.01.2026;8150.2У - ВНС (Основное);Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-000010;20.01.2026;Автоматическая насосная станция повышения давления КСС-МЧ-3 CDM10-6-СХ-ГА8 ;1
ПКНФ-000102;22.01.2026;7634.1У - ВНС установка + списаны импульсные трубки, американка с 5125 ;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00931 ;15.12.2025;7634.1У - Автоматическая насосная станция повышения давления КСС-МЧ-3 CDM15-6-СХ-ГА8 ;1
ПКНФ-000103;22.01.2026;7649.5 - Лестницы;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00950 ;08.12.2025;7649.5 - Лестницы;6
ПКНФ-000104;22.01.2026;7883 - Лестница;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00969 ;19.12.2025;7883 - Лестница;1
ПКНФ-000105;22.01.2026;579 - Рама под УПМ Балка под крышку Направляющ. насосов;Васюринская;В резерв после прихода;22.01.2026;ПКНФ-00952 ;08.12.2025;579 - Рама под УПМ Балка под крышку Направляющ. насосов;1
ПКНФ-000106;22.01.2026;7024.1 - Направляющие под корзину  Площадка Лестница Балка транспортировочная Корзина;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00841 ;14.10.2025;7024.1 - Направляющие под корзину  Площадка Лестница Балка транспортировочная Корзина;1
ПКНФ-000107;22.01.2026;7024.2 - Направляющие под корзину  Площадка Лестница Балка транспортировочная Корзина;Новороссийская ( внс и пнс);В резерв после прихода;22.01.2026;ПКНФ-00841 ;14.10.2025;7024.2 - Направляющие под корзину  Площадка Лестница Балка транспортировочная Корзина;1
ПКНФ-000108;22.01.2026;7649.2ШУ ПНС+расключение станции+расключение блок-контейнера;Тихорецкая ( только для шу с 0;В работе;22.01.2026;ПКНФ-00950 ;08.12.2025;7649.2 КСС-ШУПФС-С-2-3- 75К+2ЭЗ+АВР;1
ПКНФ-000111;22.01.2026;579 - Площадка Лестница Корзина и ее направляющие Транспортировочная балка;Новороссийская ( внс и пнс);В резерв после прихода;22.01.2026;ПКНФ-00952 ;08.12.2025;579 - Площадка Лестница Корзина и ее направляющие Транспортировочная балка;1
ПКНФ-000112;22.01.2026;579 - Трубопровод;Новороссийская ( внс и пнс);В резерв после прихода;22.01.2026;ПКНФ-00952 ;08.12.2025;579 - Трубопровод;1
ПКНФ-000116;19.01.2026;7030.2ШУ Изделие;Тихорецкая ( только для шу с 0;В работе;19.01.2026;ПКНФ-00918 ;20.11.2025;Шкаф управления двумя насосами, уличное исполнение, плавный пуск, двойной ввод питания с АВР, искроб;1
ПКНФ-000119;22.01.2026;7649.1У - Рама, стойка;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00950 ;08.12.2025;7649.1У - Рама, стойка;1
ПКНФ-000120;22.01.2026;7649.1У - Коллекторы, патрубки;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00950 ;08.12.2025;7649.1У - Коллекторы, патрубки;1
ПКНФ-000122;20.01.2026;7209.1.1 - ПНС в корпусе (Основное)+ склад резерв;Васюринская;В резерв после прихода;20.01.2026;ПКНФ-00880 ;31.10.2025;Насосная станция пожаротушения в корпусе из стеклопластика КСС-ПНС-3000-14700;1
ПКНФ-000123;23.01.2026;579 - КНС (Основное)+ склад резерв 240тыс;Васюринская;В резерв после прихода;23.01.2026;ПКНФ-00952 ;08.12.2025;Канализационная насосная станция КСС-КНС-2400-6500 в корпусе,;1
ПКНФ-000124;22.01.2026;8163У - ВНС (Основное);Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-000009;19.01.2026;Автоматическая насосная станция повышения давления КСС-МЧ-3 CDM5-9-СХ-ГА8 ;1
ПКНФ-000126;14.01.2026;7649.1ШУ ВНС + обвязка к корпусу+расключение;Тихорецкая ( только для шу с 0;В работе;14.01.2026;ПКНФ-00950 ;08.12.2025;7649.1 КСС-ШУПЧ2  3-3 -4,4кВт+СХ;1
ПКНФ-000127;22.01.2026;7209.1.2 - ПНС в корпусе (Основное)+ склад резерв ;Васюринская;В резерв после прихода;22.01.2026;ПКНФ-00880 ;31.10.2025;Насосная станция пожаротушения в корпусе из стеклопластика КСС-ПНС-3000-14700;1
ПКНФ-000128;22.01.2026;7211 - КНС (Основное)+ склад резерв;Васюринская;В резерв после прихода;22.01.2026;ПКНФ-00747 ;01.11.2025;Канализационная насосная станция в корпусе из стеклопластика КСС-КНС-3000-6900;1
ПКНФ-000129;22.01.2026;7399 - КНС (Основное) + 7920ШУ передеть наряд!;Васюринская;В резерв после прихода;22.01.2026;ПКНФ-00930 ;27.11.2025;КСС-КНС-1600-3600, на базе насосов CNP Q=10 м3/ч, H=26,3 м;1
ПКНФ-000130;22.01.2026;7586 - ПНС в корпусе (Основное)+ склад резерв ( 100тыс);Васюринская;В резерв после прихода;22.01.2026;ПКНФ-00948 ;05.12.2025;КСС-ПНС-3600-4800  на базе установки подачиводы для подачиводы для пожаротушения КСС-П-2EST80-200- 2;1
ПКНФ-000131;16.01.2026;7649.1У - ВНС (Основное);Новороссийская ( внс и пнс);В резерв после прихода;16.01.2026;ПКНФ-00950 ;08.12.2025;Установка повышения давления КСС-МЧ-3 CHLFT20-40-СХ-ГА8+GSM;1
ПКНФ-000132;22.01.2026;7719.4 - ВНС в корпусе(Основное) + склад резерв ( 243 тыс);Васюринская;В резерв после прихода;22.01.2026;ПКНФ-00960 ;12.12.2025;Насосная станция повышения давления в корпусе КСС-BНС-3000-5800;1
ПКНФ-000133;23.01.2026;7719.5 - ПНС в корпусе + склад резерв 240 тыс;Васюринская;В резерв после прихода;23.01.2026;ПКНФ-00960 ;12.12.2025;Насосная станция пожаротушения в корпусе КСС-ПНС-3600-5800;1
ПКНФ-000134;22.01.2026;7038.1 - КНС (Основное)+ склад резерв ( 313 тыс);Васюринская;В резерв после прихода;22.01.2026;ПКНФ-00832 ;13.10.2025;Канализационная насосная станция в корпусе КСС-КНС-3200-5200, на базе насосов CNP Q=457,2 м3/ч, H=8;1
ПКНФ-000135;22.01.2026;7038.2 - КНС (Основное)+ склад резерв(68тыс);Васюринская;В резерв после прихода;22.01.2026;ПКНФ-00832 ;13.10.2025;Канализационная насосная станция в корпусе КСС-КНС-2400-5700, на базе насосов CNP Q=89 м3/ч, H=15м;1
